category,label,status,in_current_backend_model,in_prepared_alnum_dataset,in_prepared_phrase_dataset
control,del,live_in_backend,yes,no,no
control,nothing,live_in_backend,yes,no,no
control,space,live_in_backend,yes,no,no
digit,0,prepared_not_deployed,no,yes,no
digit,1,prepared_not_deployed,no,yes,no
digit,2,prepared_not_deployed,no,yes,no
digit,3,prepared_not_deployed,no,yes,no
digit,4,prepared_not_deployed,no,yes,no
digit,5,prepared_not_deployed,no,yes,no
digit,6,prepared_not_deployed,no,yes,no
digit,7,prepared_not_deployed,no,yes,no
digit,8,prepared_not_deployed,no,yes,no
digit,9,prepared_not_deployed,no,yes,no
letter,A,live_in_backend,yes,yes,no
letter,B,live_in_backend,yes,yes,no
letter,C,live_in_backend,yes,yes,no
letter,D,live_in_backend,yes,yes,no
letter,E,live_in_backend,yes,yes,no
letter,F,live_in_backend,yes,yes,no
letter,G,live_in_backend,yes,yes,no
letter,H,live_in_backend,yes,yes,no
letter,I,live_in_backend,yes,yes,no
letter,J,live_in_backend,yes,yes,no
letter,K,live_in_backend,yes,yes,no
letter,L,live_in_backend,yes,yes,no
letter,M,live_in_backend,yes,yes,no
letter,N,live_in_backend,yes,yes,no
letter,O,live_in_backend,yes,yes,no
letter,P,live_in_backend,yes,yes,no
letter,Q,live_in_backend,yes,yes,no
letter,R,live_in_backend,yes,yes,no
letter,S,live_in_backend,yes,yes,no
letter,T,live_in_backend,yes,yes,no
letter,U,live_in_backend,yes,yes,no
letter,V,live_in_backend,yes,yes,no
letter,W,live_in_backend,yes,yes,no
letter,X,live_in_backend,yes,yes,no
letter,Y,live_in_backend,yes,yes,no
letter,Z,live_in_backend,yes,yes,no
phrase,a_lot,prepared_not_deployed,no,no,yes
phrase,aboard,prepared_not_deployed,no,no,yes
phrase,abuse,prepared_not_deployed,no,no,yes
phrase,afraid,prepared_not_deployed,no,no,yes
phrase,afternoon,prepared_not_deployed,no,no,yes
phrase,again,prepared_not_deployed,no,no,yes
phrase,agree,prepared_not_deployed,no,no,yes
phrase,all,prepared_not_deployed,no,no,yes
